# Input: graph.txt
# Nodes: 71539    Edges: 89872
# Algoritm: Cluset-Newman-Moore
# Modularity: 0.951743
# Communities: 9204
# NId	CommunityId
957763	1
647193	1
1090762	1
517273	1
712335	1
17376	1
19820	1
993211	1
692185	1
1146291	1
18748	1
270977	1
1223733	1
22337	1
461144	1
814740	1
488347	1
1378391	1
1214358	1
1266083	1
20657	1
979633	1
20538	1
568342	1
797581	1
1083565	1
259491	1
779975	1
1195328	1
1054210	1
877861	1
124764	1
277640	1
978911	1
23154	1
230543	1
733507	1
1262698	1
582340	1
26416	1
1398467	1
318172	1
984702	1
528001	1
1136393	1
1209681	1
1135104	1
1505655	1
1134844	1
1355511	1
24702	1
1213251	1
345904	1
196078	1
1464666	1
27148	1
110202	1
999989	1
27082	1
1124898	1
29154	1
47478	1
28843	1
472626	1
31096	1
822756	1
35942	1
32863	1
1159686	1
1289470	1
34571	1
1100466	1
215704	1
39243	1
442992	1
40042	1
47769	1
783743	1
38514	1
957684	1
938787	1
1156935	1
1309716	1
962018	1
196407	1
213687	1
841214	1
1153879	1
43233	1
756302	1
1488150	1
347695	1
495739	1
1200552	1
372747	1
465143	1
1142974	1
1273466	1
495059	1
1021420	1
435217	1
1024207	1
1471661	1
193542	1
333718	1
714852	1
1043809	1
409121	1
670649	1
120608	1
411246	1
882593	1
1119212	1
41013	1
228972	1
388570	1
931480	1
42792	1
1219071	1
586599	1
987658	1
1272882	1
400561	1
226633	1
391878	1
214547	1
278932	1
237245	1
812191	1
990796	1
795588	1
989022	1
154795	1
1149659	1
1390019	1
1467757	1
453864	1
48705	1
51546	1
51401	1
189120	1
972296	1
919200	1
961471	1
974718	1
1199390	1
417122	1
49616	1
287371	1
56408	1
1282246	1
89110	1
60118	1
520677	1
59753	1
59702	1
476103	1
524431	1
59522	1
1434923	1
853905	1
65500	1
298711	1
276331	1
579870	1
63582	1
597471	1
63001	1
1116901	1
61575	1
92536	1
846789	1
445366	1
71307	1
71912	1
71736	1
422851	1
73085	1
66506	1
422878	1
1226990	1
302968	1
1147775	1
69358	1
78790	1
860728	1
887844	1
805095	1
1515417	1
745048	1
982248	1
967565	1
1482190	1
73768	1
428812	1
233923	1
756060	1
973100	1
75377	1
1340443	1
75570	1
87860	1
433819	1
94432	1
87297	1
1213977	1
83392	1
539703	1
423250	1
787593	1
238772	1
82299	1
621513	1
454492	1
1146537	1
85732	1
822077	1
905451	1
863465	1
85649	1
85413	1
795475	1
146435	1
84358	1
836708	1
95490	1
95352	1
138458	1
688694	1
1176196	1
94240	1
1199403	1
1378789	1
91764	1
92002	1
215502	1
1023520	1
291258	1
416312	1
1315922	1
1072782	1
391114	1
329423	1
92931	1
275950	1
105667	1
104320	1
691738	1
128598	1
1232312	1
1188504	1
1012600	1
983797	1
518146	1
819316	1
183914	1
109110	1
529905	1
273297	1
1146679	1
1088954	1
1095066	1
1105649	1
1259871	1
482114	1
1097890	1
1483035	1
107394	1
281650	1
107417	1
511585	1
472855	1
799422	1
107035	1
830654	1
542167	1
120918	1
684727	1
697195	1
1467397	1
120430	1
1113040	1
116633	1
